Exp or Imp,Year,HS,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apl,Quantity2-Apl,Value-Apl,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2012,'481720000',  ,KG,0,89461,149307,0,6183,9373,0,1451,4150,0,5922,8169,0,4115,7489,0,7098,7600,0,4180,4495,0,7634,13435,0,4379,12044,0,8903,15388,0,16326,33239,0,10634,10279,0,12636,23646
2,2012,'481730000',  ,KG,0,455204,699586,0,43435,44942,0,24462,27786,0,37800,41216,0,42599,68352,0,37193,47799,0,19273,31182,0,22350,33983,0,56552,134784,0,45270,83925,0,39015,53053,0,45090,69697,0,42165,62867
2,2012,'481810000',  ,KG,0,40722084,6005890,0,3742241,563281,0,1984808,290796,0,3140778,464765,0,3641798,518962,0,3023022,429380,0,2444684,341298,0,2811814,410009,0,3380609,512747,0,2839313,416563,0,4299841,645422,0,4743998,694798,0,4669178,717869
2,2012,'481820000',  ,KG,0,59570960,10434745,0,4804280,817424,0,3121970,541385,0,4763796,834125,0,4769095,829358,0,5641709,956286,0,4372724,752099,0,4486836,797142,0,5029794,886016,0,4915064,841738,0,6272738,1107943,0,5864033,1026517,0,5528921,1044712
2,2012,'481830000',  ,KG,0,3353800,728161,0,361960,68830,0,252738,48125,0,290486,65179,0,288925,58563,0,228462,52407,0,239858,49195,0,178851,40254,0,269759,57129,0,221994,44182,0,392851,99831,0,333653,79722,0,294263,64744
2,2012,'481850000',  ,KG,0,1100165,879986,0,100454,82782,0,60011,52618,0,90436,74272,0,97824,79566,0,115935,87409,0,107434,82687,0,102949,79348,0,108299,85477,0,71761,56964,0,93580,70632,0,80903,67717,0,70579,60514
2,2012,'481890000',  ,KG,0,7087544,3953890,0,570432,333948,0,408639,254065,0,512447,337082,0,495925,307104,0,600668,342903,0,509785,335605,0,508264,316806,0,636676,375616,0,671560,314111,0,809228,356610,0,739910,385954,0,624010,294086
2,2012,'481910000',  ,KG,0,13275608,2472814,0,1103167,202935,0,902217,179821,0,1113294,206355,0,1030899,209489,0,970577,187936,0,981284,200152,0,1101843,197196,0,1284856,204811,0,1031483,224606,0,1286015,234301,0,1163519,210033,0,1306454,215179
2,2012,'481920000',  ,KG,0,20361929,7763852,0,1811494,715733,0,1354388,496180,0,1590359,594025,0,1680923,680307,0,1782894,642735,0,1387508,501999,0,1489084,540879,0,1426439,533725,0,1721254,722371,0,2066602,764952,0,1963490,746922,0,2087494,824024
2,2012,'481930000',  ,KG,0,10266787,3348953,0,1052115,332009,0,594201,179765,0,941017,306952,0,854050,289604,0,710999,244939,0,701466,217467,0,772540,225019,0,729078,227230,0,639679,211862,0,984096,327335,0,1109375,386489,0,1178171,400282
2,2012,'481940000',  ,KG,0,34034477,14116862,0,3306776,1383449,0,1803688,724832,0,3154194,1242235,0,2972203,1212097,0,3200960,1281370,0,2394713,984605,0,2601282,1066556,0,2451703,1030413,0,2691533,1133447,0,2859698,1206515,0,3376842,1455873,0,3220885,1395470
2,2012,'481950000',  ,KG,0,12579245,4522882,0,1072871,416971,0,736621,237943,0,920625,307415,0,940221,317212,0,985478,320968,0,1088813,324485,0,1102511,377545,0,904801,335168,0,973329,382892,0,1254934,427098,0,1373657,563624,0,1225384,511561
2,2012,'481960000',  ,KG,0,1850333,580268,0,221976,68279,0,103176,34158,0,192470,57864,0,94185,31519,0,124898,42414,0,140732,42098,0,196149,56014,0,107666,36428,0,126102,41164,0,186782,56412,0,206172,67265,0,150025,46653
2,2012,'482010000',  ,KG,0,21449931,8764269,0,1840095,779015,0,1515538,452241,0,1741611,649931,0,1889041,609947,0,1565600,519012,0,1257799,537488,0,2121271,1040797,0,2355087,1294896,0,1796231,803164,0,1933107,763929,0,1657127,624091,0,1777424,689758
2,2012,'482020000',  ,KG,0,94263,43895,0,20079,7201,0,1927,2015,0,7378,2251,0,3255,6624,0,6513,2747,0,8912,2832,0,10393,3702,0,1383,2146,0,9100,3650,0,10419,4762,0,11693,4544,0,3211,1421
2,2012,'482030000',  ,KG,0,19873948,6292393,0,1985898,639745,0,1422820,477507,0,2278121,751685,0,1532652,486472,0,1624990,513465,0,1294051,421640,0,1352015,456945,0,1450029,433026,0,1444712,419949,0,1966162,590734,0,1846082,586752,0,1676416,514473
2,2012,'482040000',  ,KG,0,1355852,499532,0,137600,49542,0,117760,38967,0,97808,34289,0,89178,30059,0,115819,34671,0,100205,40439,0,128012,46896,0,180405,67111,0,70378,26214,0,149727,66214,0,85906,31561,0,83054,33569
2,2012,'482050000',DZ,KG,455470,2851251,1190866,51383,288640,106000,23776,154258,73018,37195,236212,100290,35830,279047,115677,27614,225821,95526,39968,232107,94736,30324,209138,75573,59887,292090,116448,34847,250264,98780,26513,196522,87768,49988,262102,125189,38145,225050,101861
2,2012,'482090000',  ,KG,0,1585335,781380,0,202842,98704,0,92797,46299,0,168420,72630,0,87787,40280,0,125812,54742,0,116064,67255,0,112595,60610,0,135627,79406,0,94634,44857,0,129753,59518,0,203261,93226,0,115743,63853
2,2012,'482110000',  ,KG,0,1215272,1919512,0,107162,150375,0,83607,137337,0,131900,166925,0,137390,194040,0,118124,211732,0,131980,191862,0,107963,166494,0,82783,138673,0,65594,132199,0,65430,118339,0,84711,168205,0,98628,143331
2,2012,'482190000',  ,KG,0,1161482,907083,0,86151,60753,0,37927,33706,0,72579,56839,0,67108,50865,0,86506,67927,0,77021,56410,0,80419,73437,0,140395,108480,0,131554,94664,0,132126,100448,0,143623,114489,0,106073,89065
2,2012,'482210000',  ,KG,0,2248751,289210,0,155664,19627,0,149208,19181,0,264827,32331,0,153461,21251,0,219317,28034,0,228847,28104,0,157229,20670,0,135782,17672,0,223176,29122,0,157304,19672,0,249474,33416,0,154462,20130
2,2012,'482290000',  ,KG,0,28724,4953,0,3368,316,0,0,0,0,5304,836,0,4,293,0,5750,983,0,1000,251,0,0,0,0,7985,1133,0,0,0,0,5300,568,0,0,0,0,13,573
2,2012,'482320000',  ,KG,0,1940317,1536866,0,230665,159759,0,119177,122786,0,160543,149345,0,158344,135015,0,170827,128810,0,146694,114134,0,179125,136790,0,144351,113341,0,173750,120779,0,169695,125709,0,187937,145279,0,99209,85119
2,2012,'482340000',  ,KG,0,100739,94042,0,8878,6863,0,1916,5827,0,8323,9628,0,19308,9234,0,8300,7225,0,5199,5445,0,10021,7245,0,6689,6493,0,3052,5945,0,14152,12042,0,8781,10923,0,6120,7172
2,2012,'482369000',  ,KG,0,21527985,6353605,0,1588043,460253,0,1358310,376317,0,1818549,546226,0,1738554,510738,0,1770211,533283,0,1637353,488077,0,1849057,551563,0,1898234,564308,0,1792692,533881,0,2085758,609682,0,2099946,627110,0,1891278,552167
2,2012,'482370000',  ,KG,0,2257270,696845,0,175899,69210,0,53028,22823,0,148679,64936,0,153723,41805,0,189664,58812,0,160478,53315,0,198949,56128,0,227273,58452,0,230823,65682,0,281235,83891,0,284195,74751,0,153324,47040
2,2012,'482390100',  ,KG,0,6872,2666,0,0,0,0,0,0,0,0,0,0,960,289,0,16,243,0,0,0,0,0,0,0,960,276,0,960,274,0,280,264,0,2816,1055,0,880,265
2,2012,'482390200',  ,KG,0,56650937,15788889,0,5257061,1360600,0,4350937,1092704,0,5289261,1537880,0,4568536,1393428,0,5247432,1514405,0,4400364,1320183,0,4275979,1342467,0,4272341,1147933,0,4109655,1142599,0,4077345,1157693,0,5406053,1363246,0,5395973,1415751
2,2012,'490110000',  ,KG,0,562801,663842,0,55863,47846,0,21418,24493,0,33438,45069,0,40523,43033,0,80462,72696,0,50155,156741,0,42848,48292,0,93900,75382,0,57920,42041,0,24140,37644,0,31737,37663,0,30397,32942
2,2012,'490191000',NO,KG,161418,83682,63952,4517,2228,4236,3036,4926,2404,8692,8193,8838,12412,6478,4544,5380,7354,4665,596,403,899,2800,2454,1356,17236,21372,14383,8643,5779,3623,3157,2012,2805,87369,17443,11043,7580,5040,5156
2,2012,'490199000',  ,KG,0,9338707,19996728,0,986232,1969964,0,686730,1721261,0,893469,1824105,0,703683,1609839,0,752999,1569531,0,664761,1489970,0,687704,1436927,0,719003,1475326,0,789003,1454345,0,889981,1778685,0,732883,1602676,0,832259,2064099
2,2012,'490210000',NO,KG,2860,487,1522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,83,264,0,0,0,0,0,0,0,0,0,800,234,792,0,0,0,560,170,466
2,2012,'490290000',NO,KG,9193395,1983679,5981468,785375,215085,603276,680276,170750,490946,590444,149374,517813,603043,179292,495251,2654326,193246,562911,518589,166509,475261,577042,148406,512738,491349,130359,469642,614988,182760,462125,610987,169791,539130,506664,128314,405589,560312,149793,446786
2,2012,'490300000',NO,KG,19840850,3616645,3071629,1318511,301842,213764,764906,231980,140848,1302762,289487,267717,1228906,330885,338162,3440698,258005,209770,1195219,322325,250647,1461562,320223,332804,1349920,243420,226987,1111055,308753,220541,3700223,325701,301512,1536693,350163,296073,1430395,333861,272804
2,2012,'490400000',  ,KG,0,171502,408009,0,15242,39183,0,14861,28944,0,26413,70651,0,20884,51839,0,17494,51470,0,14780,22651,0,6997,22477,0,20391,31007,0,3948,15647,0,12361,19778,0,8410,28857,0,9721,25505
2,2012,'490510000',  ,KG,0,281056,304788,0,32577,31275,0,16514,17630,0,29340,25630,0,15521,16336,0,7525,9919,0,13977,16382,0,33236,32682,0,14308,23829,0,20043,22705,0,16671,15449,0,41116,36199,0,40228,56752
2,2012,'490591000',  ,KG,0,73915,75679,0,9487,7521,0,2029,5363,0,12521,6946,0,9348,4227,0,6992,7289,0,5467,4928,0,14911,12446,0,4598,8070,0,2119,4029,0,3075,6450,0,2201,2010,0,1167,6400
2,2012,'490599000',  ,KG,0,62180,507743,0,4505,47185,0,4085,40581,0,4732,42877,0,3562,47628,0,4303,47086,0,4662,42758,0,14636,64795,0,4627,37148,0,4401,33537,0,4051,36010,0,4875,37447,0,3741,30691
2,2012,'490600000',  ,KG,0,764,31246,0,0,0,0,0,0,0,104,2267,0,45,1482,0,1,1372,0,76,2337,0,47,1015,0,68,8986,0,71,2249,0,11,453,0,143,6815,0,198,4270
2,2012,'490700000',  ,KG,0,77137,18451404,0,3,2369,0,5296,1313322,0,7656,2162486,0,6007,1857331,0,1698,642543,0,2595,1319766,0,3501,1236312,0,32634,5164490,0,7463,2053737,0,4399,1281970,0,787,193344,0,5098,1223734
2,2012,'490810000',  ,KG,0,3009,30883,0,147,2705,0,242,1893,0,266,1807,0,144,1795,0,228,4866,0,119,1024,0,256,2700,0,846,3309,0,93,2794,0,156,1649,0,446,5842,0,66,499
