Exp or Imp,Year,HS,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apr,Quantity2-Apr,Value-Apr,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2019,'722530910',  ,KG,0,5732565,388286,0,273251,22372,0,1939385,130520,0,21500,1607,0,33655,4133,0,563440,36104,0,91765,7383,0,6340,546,0,37330,2390,0,80370,5669,0,227149,19257,0,1822520,113078,0,635860,45227
2,2019,'722530990',  ,KG,0,30404417,1859512,0,2477500,152763,0,185150,13632,0,3551540,220172,0,3052900,181362,0,2331604,149116,0,1775500,111817,0,1114096,71938,0,1365810,84496,0,4734654,280757,0,2485860,148083,0,3213070,195721,0,4116733,249655
2,2019,'722540100',  ,KG,0,366339,235990,0,46781,27801,0,3382,2970,0,30537,17307,0,46384,37392,0,22569,13812,0,14187,8410,0,31575,19537,0,59125,40439,0,55892,38690,0,17622,10469,0,22982,11389,0,15303,7774
2,2019,'722540200',  ,KG,0,73914,148670,0,14118,28443,0,3329,5745,0,7887,19214,0,8296,16918,0,7624,15177,0,7647,18828,0,6115,11201,0,7100,13516,0,3280,6065,0,3051,5774,0,3801,5551,0,1666,2238
2,2019,'722540910',  ,KG,0,310189,28263,0,18054,1745,0,62710,5225,0,71,745,0,0,0,0,83116,7198,0,0,0,0,7418,643,0,73110,6179,0,1272,442,0,2198,711,0,62240,5375,0,0,0
2,2019,'722540990',  ,KG,0,253086000,15871068,0,28513675,1991952,0,19831647,1231980,0,31346647,1926116,0,25942147,1665687,0,4679309,358757,0,7778365,552326,0,15765291,1063827,0,16681321,1077235,0,25453256,1589411,0,20635194,1214051,0,38027959,2146393,0,18431189,1053333
2,2019,'722550100',  ,KG,0,10096,6147,0,0,0,0,0,0,0,0,0,0,2243,2716,0,0,0,0,0,0,0,0,0,0,2102,991,0,3874,837,0,0,0,0,1877,1603,0,0,0
2,2019,'722550900',  ,KG,0,18492410,1892064,0,1873391,176203,0,699238,80592,0,1453100,139270,0,1555620,148091,0,1650939,169280,0,1446534,160671,0,1458935,162634,0,1200338,122766,0,1536579,140216,0,1829261,183850,0,1567218,177844,0,2221257,230647
2,2019,'722591900',  ,KG,0,1090803,93638,0,129781,12853,0,256783,23680,0,100455,14612,0,541020,31345,0,0,0,0,0,0,0,2852,768,0,12502,1876,0,2300,431,0,1249,216,0,43861,7857,0,0,0
2,2019,'722592900',  ,KG,0,11102466,1846514,0,1304074,176273,0,1093153,160007,0,1316834,280118,0,1186954,225387,0,700262,121164,0,455619,120101,0,1032248,122217,0,554067,102003,0,794141,100295,0,775569,137912,0,947667,158427,0,941878,142610
2,2019,'722599900',  ,KG,0,1262746,258678,0,32230,3013,0,106721,10481,0,120815,84931,0,213376,31263,0,55700,46348,0,159805,17354,0,88550,11974,0,64449,9141,0,134572,13957,0,23529,5517,0,165219,16316,0,97780,8383
2,2019,'722611000',  ,KG,0,26747,10491,0,0,0,0,0,0,0,236,484,0,0,0,0,269,568,0,11455,3078,0,0,0,0,0,0,0,262,590,0,0,0,0,14525,5771,0,0,0
2,2019,'722619000',  ,KG,0,758125,177215,0,48074,10062,0,70587,19910,0,99223,25822,0,19285,7683,0,45395,10631,0,86723,17621,0,31748,9244,0,32220,8686,0,51409,12607,0,56651,10754,0,91435,19758,0,125375,24437
2,2019,'722620000',  ,KG,0,44436,113993,0,7141,18766,0,4708,11679,0,4237,11361,0,5053,15162,0,2326,6118,0,5512,12999,0,3879,9558,0,4578,11833,0,1037,2411,0,4048,9966,0,58,208,0,1859,3932
2,2019,'722691010',  ,KG,0,518671,281680,0,62077,38937,0,4197,12378,0,4490,4201,0,15577,22669,0,161913,59992,0,28910,20749,0,16506,21319,0,19912,18380,0,47160,18917,0,47639,21951,0,7962,7073,0,102328,35114
2,2019,'722691020',  ,KG,0,274228,123497,0,33862,19283,0,15018,10310,0,45545,13261,0,9431,10676,0,39269,13644,0,26506,10535,0,28144,7637,0,23837,10266,0,6229,6413,0,32936,9180,0,7626,5097,0,5825,7195
2,2019,'722692010',  ,KG,0,893988,236105,0,78741,27948,0,10493,4465,0,70099,20745,0,67632,17349,0,86630,23582,0,89601,21598,0,54858,16878,0,99660,25178,0,87740,18270,0,54411,14586,0,121161,28342,0,72962,17164
2,2019,'722692020',  ,KG,0,509109,396677,0,63446,37171,0,57204,31353,0,43422,33036,0,38723,46684,0,69575,55144,0,42429,55164,0,31662,24476,0,46053,19632,0,50807,43306,0,30654,15073,0,20043,12628,0,15091,23010
2,2019,'722699110',  ,KG,0,2627,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1046,391,0,0,0,0,0,0,0,1581,206,0,0,0
2,2019,'722699190',  ,KG,0,32223,139892,0,2787,8616,0,689,3373,0,1772,6763,0,1090,3694,0,2673,7815,0,1228,3198,0,3577,12030,0,3872,14152,0,1174,3518,0,5407,16233,0,3765,36080,0,4189,24420
2,2019,'722699200',  ,KG,0,254383,360056,0,21089,33878,0,23222,34435,0,21326,32229,0,21295,31084,0,20105,28919,0,618,1470,0,42913,59516,0,22502,31529,0,18651,23584,0,22156,29621,0,22047,28256,0,18459,25535
2,2019,'722699900',  ,KG,0,317575,589129,0,23477,11230,0,30487,26245,0,42890,43108,0,18886,96603,0,17461,32740,0,25459,45622,0,34598,93817,0,24754,41381,0,20700,39938,0,27551,40893,0,42519,76435,0,8793,41117
